spotify_track_id,release_date_raw
1mKXFLRA179hdOWQBwUk9e,2012-09-18
6sZo5nJIsFWXefRCCexpx0,2022-11-04
1gv4xPanImH17bKZ9rOveR,2010-10-05
1jF7IL57ayN4Ity3jQqGu0,2012-09-18
0JiY190vktuhSGN6aqJdrt,2008-10-24
0Qh38w01QRXK6KHIv0e3hb,2017-10-13
0UKUfxIkDAMZz7hMdiVX3m,2021-05-21
4FWbsd91QSvgr1dSWwW51e,2023-01-27
2hns6Dv29Yrg68AVTJiAyA,2006-04-04
1QNqrsNQ1JVLEwncov3lEY,2012-09-18
561jH07mF1jHuk7KlaeF0s,2004-11-12
7lQ8MOhq6IN2w8EYcFNSUk,2002-05-26
3yfqSUWxFvZELEM4PmlwIR,2000-05-23
4woTEX1wYOTGDqNXuavlRC,2002-05-26
4xkOaSrkexMciUUogZKVTS,2002-05-26
3UmaczJpikHgJFyBTAJVoz,2000-05-23
15JINEqzVMv3SvJTAXAKED,2010-06-18
7FIWs0pqAYbP91WWM0vlTQ,2020-01-17
3CpoeW0cZSDzIRv5z34F87,2002-05-26
7Ie9W94M7OjPoZVV216Xus,2010-06-18
60nZcImufyMA1MKQY3dcCH,2014-03-03
5unjCay0kUjuej5ebn4nS4,2022-11-18
5bcTCxgc7xVfSaMV3RuVke,2017-06-30
3S68RFe1lsdCdTMPIMJM3X,2022-06-10
6clzeGvi1CFioMOolbAOlX,2022-08-05
7Bar1kLTmsRmH6FCKKMEyU,2020-09-04
1MJErNPIQUoEMu4YUUmecm,2017-08-25
7z4xW9WY86uH3gd1V9pfCM,2021-06-25
0DGTcMqvVR7fmBXgiG6jz4,2013
0iFOG4Ki9aDmJUYUFHQlPG,2003-08-19
0u2P5u6lvoDfwTYjAADbn4,2018-04-19
10xV5l9nhLvFpR8mqzs0bL,2022-06-10
7vGuf3Y35N4wmASOKLUVVU,2017-08-11
5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27
7FGq80cy8juXBCD2nrqdWU,2018-12-07
6zeeWid2sgw4lap2jV61PZ,2018-10-18
152lZdxL1OR0ZMW6KquMif,2017-04-27
5bgwqaRSS3M8WHWruHgSL5,2017-04-27
70eFcWOvlMObDhURTqT4Fv,2019-07-12
45Egmo7icyopuzJN0oMEdk,2018-02-14
4nrPB8O7Y7wsOCJdgXkthe,2023-01-11
6G12ZafqofSq7YtrMqUm76,2022-10-19
2rurDawMfoKP4uHyb2kJBt,2022-04-21
3ZFTkvIE7kyPt6Nu3PEa7V,2005-11-28
6bNB5gxFX6Q87DbQWb8OWZ,2010-05-28
0OEBOJhSObnFuHuasXdt52,2005-06-03
6mICuAdrwEjh6Y6lroV2Kg,2017-05-26
78dbqYDvx6FOefROApu9w0,1998-09-29
0KAqMRUSZwzG3dZLdDA4eH,1995-10-06
7kDUspsoYfLkWnZR7qwHZl,2020-09-25
2gTdDMpNxIRFSiu7HutMCg,2019-07-05
25wdC7CJmCJPgnKw9rYquJ,2022-03-25
0OI7AFifLSoGzpb8bdBLLV,2017-11-18
1VSuFS7PahCN3SWbOcQ98m,2020-09-25
6mADjHs6FXdroPzEGW6KVJ,2020-09-25
1PSBzsahR2AKwLJgx8ehBj,2017-05-12
50eJOxJiGmJ7PBZaTKpje1,2022-03-25
0c34ovpXiMWWUbKX0IavIH,2021-07-27
1T4tQ4SSagbhAKpvcWg035,2022-03-25
5YUyW9opqNsMSEzzecZih1,2019-11-01
7qCAVkHWZkF44OzOUKf8Cr,2017-01-20
0ERbK7qVqveCaBWIiYCrl3,2017-07-21
03LfOYi0icz4souspZVVhq,2021-06-30
7anSoGdgtmJTAPZBzcPhO6,2019-05-10
2Eg6dOam7cAe5turf2bnCg,2016-02-24
20yLo8tCAM1LXixAdBf3f2,2022-06-23
5Fim1gaXBgsiFfsQAfQSDS,2017-01-20
3eSJmGWqoBRx5wbFCtvPtz,2020-05-18
0tIpUUbOYIWqvI50Ksf7D5,2001-07-13
6dGnYIeXmHdcikdzNNDMm2,1969-09-26
7iN1s7xHE4ifF5povM6A48,1970-05-08
2EqlS6tkEnglzr7tkKAAYD,1969-09-26
3BQHpFgAp4l80e1XslIjNI,1965-08-06
5ZBeML7Lf3FMEVviTyvi8l,1963-03-22
5jgFfDIR6FR0gvlA56Nakr,1968-11-22
3KfbEIOC7YIv90FIfNSZpo,1965-12-03
0aym2LBJBk9DAYuHHutrIl,2000-11-13
4pbG9SUmWIvsROVLF0zF9s,2000-11-13
0pNeVovbiZHkulpGeOx1Gj,1969-09-26
4QNpBfC0zvjKqPJcyqBy9W,2011-06-17
3cHyrEgdyYRjgJKSOiOtcS,2012
2bJvI42r8EF3wxjOuDav4r,2014-11-24
0Hf4aIJpsN4Os2f0y0VqWl,2012
62zFEHfAYl5kdHYOivj4BC,2011-06-17
4Y7XAxTANhu3lmnLAzhWJW,2014-11-24
1PCvKFPWnTXAe2oaReVUcr,2014-11-24
0OPyDgTRuIdCJ9B4bYSths,2009-08-27
3rfhI32Il2hVRKDkuGeeen,2011-06-17
